http://git-wip-us.apache.org/repos/asf/cassandra.git git:trunk
Fetching Cassandra updates...
Current cluster is now: trunk-long-column-names
INFO  18:43:57 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  18:43:58 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  18:43:58 New Cassandra host /127.0.0.1:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.2:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.3:9042 added
Connected to cluster: trunk-long-column-names
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.2; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.3; Rack: rack1
Created keyspaces. Sleeping 3s for propagation.
Sleeping 2s...
Warming up WRITE with 150000 iterations...
Running WRITE with 5 threads for 500000 iteration
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        288248,    2471,    2471,    2471,     1.6,     1.4,     2.9,     4.7,    13.1,    16.7,  129.2,  0.01261,      0,      0,       0,       0,       0,       0
total,        290359,    2102,    2102,    2102,     2.0,     1.3,     4.2,    15.7,    47.4,    65.1,  130.2,  0.01252,      0,      0,       0,       0,       0,       0
total,        293129,    2757,    2757,    2757,     1.3,     1.1,     2.2,     3.5,    48.0,    68.5,  131.2,  0.01254,      0,      0,       0,       0,       0,       0
total,        295901,    2762,    2762,    2762,     1.4,     1.1,     2.2,     4.2,    46.3,    50.7,  132.2,  0.01254,      0,      0,       0,       0,       0,       0
total,        298528,    2617,    2617,    2617,     1.5,     1.1,     2.4,     7.5,    48.3,    49.0,  133.2,  0.01250,      0,      0,       0,       0,       0,       0
total,        300813,    2274,    2274,    2274,     1.9,     1.2,     4.4,    11.7,    70.8,    71.5,  134.2,  0.01240,      0,      0,       0,       0,       0,       0
total,        302422,    1656,    1656,    1656,     2.8,     1.4,     5.3,    61.2,   118.1,   122.7,  135.2,  0.01252,      0,      0,       0,       0,       0,       0
total,        304603,    2055,    2055,    2055,     2.2,     1.4,     5.1,    15.2,    61.4,    67.7,  136.2,  0.01245,      0,      0,       0,       0,       0,       0
total,        307263,    2646,    2646,    2646,     1.7,     1.2,     3.9,     8.2,    38.1,    50.3,  137.2,  0.01238,      0,      0,       0,       0,       0,       0
total,        309725,    2448,    2448,    2448,     1.8,     1.2,     4.0,     9.9,    50.7,    57.5,  138.3,  0.01230,      0,      0,       0,       0,       0,       0
total,        311952,    2209,    2209,    2209,     2.0,     1.4,     5.3,    10.8,    16.3,    18.0,  139.3,  0.01222,      0,      0,       0,       0,       0,       0
